state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,metric_used,method_name,year,units_of_measure,event_type,observation_count,observation_percent,completeness_indicator,valid_day_count,required_day_count,exceptional_data_count,null_data_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,num_obs_below_mdl,arithmetic_mean,arithmetic_standard_dev,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_non_overlapping_value,first_no_max_datetime,second_max_non_overlapping_value,second_no_max_datetime,ninety_nine_percentile,ninety_eight_percentile,ninety_five_percentile,ninety_percentile,seventy_five_percentile,fifty_percentile,ten_percentile,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
48,453,0014,44201,2,30.354436,-97.760255,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1992,Parts per million,No Events,7826,87,Y,212,245,0,0,11,11,Certified,0,0.046825,0.014672,0.088,1992-10-04 10:00:00.000000 UTC,0.083,1992-08-18 10:00:00.000000 UTC,0.082,1992-05-08 11:00:00.000000 UTC,0.081,1992-04-27 10:00:00.000000 UTC,,,,,0.082,0.081,0.076,0.068,0.057,0.046,0.035,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-05-25
48,453,0014,44201,2,30.354436,-97.760255,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2005,Parts per million,No Events,8585,99,Y,243,245,0,0,1,1,Certified,0,0.047584,0.014882,0.088,2005-06-21 10:00:00.000000 UTC,0.084,2005-05-27 10:00:00.000000 UTC,0.082,2005-06-22 10:00:00.000000 UTC,0.082,2005-09-27 10:00:00.000000 UTC,,,,,0.082,0.082,0.071,0.067,0.059,0.047,0.035,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-04-20
48,453,0014,44201,2,30.354436,-97.760255,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2010,Parts per million,No Events,8621,98,Y,240,245,0,0,2,2,Certified,0,0.042083,0.013586,0.077,2010-05-28 10:00:00.000000 UTC,0.076,2010-08-28 10:00:00.000000 UTC,0.075,2010-05-05 10:00:00.000000 UTC,0.074,2010-10-08 10:00:00.000000 UTC,,,,,0.075,0.073,0.067,0.062,0.052,0.043,0.035,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-08-08
48,453,0017,42101,1,30.264167,-97.746111,NAD27,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1993,Parts per million,No Events,8276,94,Y,357,365,0,0,0,0,Certified,0,0.986745,0.511158,5.3,1993-01-21 19:00:00.000000 UTC,5.1,1993-01-12 18:00:00.000000 UTC,5,1993-01-21 09:00:00.000000 UTC,4.9,1993-01-21 08:00:00.000000 UTC,,,,,3.1,2.6,2,1.6,1.1,0.8,0.6,NW OF COLORADO & W. CESAR CHAVEZ STREETS INTERSECTION,WEST FIRST AND COLORADO STREETS,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-04-27
48,453,0014,44201,2,30.354436,-97.760255,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1993,Parts per million,No Events,7408,89,Y,218,245,0,0,2,2,Certified,0,0.042321,0.013825,0.087,1993-09-10 10:00:00.000000 UTC,0.086,1993-09-05 10:00:00.000000 UTC,0.082,1993-09-29 10:00:00.000000 UTC,0.08,1993-09-07 10:00:00.000000 UTC,,,,,0.082,0.08,0.067,0.06,0.051,0.042,0.032,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-05-25
48,453,0014,44201,2,30.354436,-97.760255,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2003,Parts per million,No Events,8690,99,Y,242,245,0,0,3,3,Certified,0,0.047112,0.015006,0.092,2003-09-07 10:00:00.000000 UTC,0.087,2003-05-30 11:00:00.000000 UTC,0.085,2003-09-06 10:00:00.000000 UTC,0.084,2003-09-08 11:00:00.000000 UTC,,,,,0.085,0.081,0.074,0.065,0.057,0.047,0.036,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-04-22
48,453,0014,44201,2,30.354436,-97.760255,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1997,Parts per million,No Events,8283,98,Y,241,245,0,0,2,2,Certification not required,0,0.039838,0.01563,0.084,1997-08-02 11:00:00.000000 UTC,0.082,1997-08-26 10:00:00.000000 UTC,0.075,1997-08-03 10:00:00.000000 UTC,0.075,1997-09-27 10:00:00.000000 UTC,,,,,0.075,0.074,0.069,0.063,0.05,0.04,0.029,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-04-28
48,453,0014,62101,1,30.354436,-97.760255,NAD83,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2001,Degrees Fahrenheit,No Events,8750,100,Y,365,365,0,9,,,Certification not required,0,67.6696,15.096617,100,2001-08-18 14:00:00.000000 UTC,100,2001-08-18 15:00:00.000000 UTC,100,2001-08-18 16:00:00.000000 UTC,99,2001-07-21 15:00:00.000000 UTC,,,,,97,95,91,87,78,70,46,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2010-03-05
48,453,0014,42101,1,30.354436,-97.760255,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2010,Parts per million,No Events,8461,97,Y,349,365,0,0,0,0,Certified,0,0.050632,0.070551,0.7,2010-01-09 19:00:00.000000 UTC,0.7,2010-01-09 20:00:00.000000 UTC,0.7,2010-01-09 21:00:00.000000 UTC,0.7,2010-01-09 22:00:00.000000 UTC,0.7,2010-01-09 19:00:00.000000 UTC,0.5,2010-01-15 00:00:00.000000 UTC,0.3,0.2,0.2,0.1,0.1,0,0,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-04-10
48,453,0014,42101,1,30.354436,-97.760255,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2012,Parts per million,No Events,8280,94,Y,338,366,0,0,0,0,Certified,0,0.134541,0.069162,0.4,2012-02-14 08:00:00.000000 UTC,0.4,2012-02-14 09:00:00.000000 UTC,0.4,2012-02-14 10:00:00.000000 UTC,0.4,2012-02-14 11:00:00.000000 UTC,0.4,2012-02-14 08:00:00.000000 UTC,0.4,2012-03-01 00:00:00.000000 UTC,0.3,0.3,0.2,0.2,0.2,0.1,0.1,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-04-09
